,phrases,labels
3454,SAA,Process
3455,first-stage realization,Process
3456,integer cuts,Process
3457,Jensen's inequality,Process
3458,upper bound the minus second (and third) stage cost,Task
3459,Modeling collaboration processes,Task
3460,modeling approaches,Process
3461,human collaboration,Process
3462,evolution of a network of collaborative documents along with a social network of collaborators,Process
3463,modeling approach,Process
3464,graphical notation and formalization,Process
3465,influence of complex social structures,Process
3466,discovery of socially coherent teams,Task
3467,modeling approach,Process
3468,collaboration processes,Process
3469,cardiovascular signals,Process
3470,oscillatory components,Process
3471,periods,Process
3472,frequencies,Process
3473,heart rate variability,Process
3474,HRV,Process
3475,statistical approaches,Process
3476,introduce one of the statistical approaches to HRV,Task
3477,understand the variability of the cardiovascular system,Task
3478,physiological components,Material
3479,subsystems,Material
3480,cardiovascular system,Material
3481,cardiovascular system,Material
3482,HRV,Task
3483,wavelet transform,Process
3484,cardio-respiratory interaction,Process
3485,phase synchronization,Process
3486,phase dynamics,Process
3487,cardiovascular system,Material
3488,measurements of cardiovascular signals,Process
3489,statistical methods,Process
3490,group data analyses,Task
3491,HRV,Process
3492,discuss the cardio-respiratory interaction,Task
3493,summarize the basic principles of phase dynamics,Task
3494,cardiovascular signals,Material
3495,general relativity,Task
3496,theories of gravity,Task
3497,Parameterised Post-Newtonian,Process
3498,PPN,Process
3499,PPN formalism,Process
3500,lunar laser ranging,Task
3501,radio echo,Task
3502,Hulse–Taylor binary pulsar,Task
3503,PPN formalism,Process
3504,compare and assess,Process
3505,theories of gravity,Task
3506,PPN formalism,Process
3507,cutting edge astrophysical observations,Task
3508,benchmark for how theories of gravity should be evaluated,Process
3509,time-dependent dynamical systems,Task
3510,analysis of time series,Task
3511,non-autonomous systems,Task
3512,‘bottom-up’ approach,Process
3513,chronotaxic systems,Task
3514,model the stable but time-varying frequencies,Process
3515,time series analysis,Process
3516,‘top-down’,Process
3517,inverse,Process
3518,non-autonomous systems,Task
3519,deterministic ,Process
3520,stochastic ,Process
3521,chronotaxic systems,Task
3522,inverse approach,Process
3523,heart rate variability ,Task
3524,non-autonomous systems,Task
3525,autonomous systems,Task
3526,living systems,Task
3527,analytical framework,Task
3528,confront those six-zero textures of lepton mass matrices,Task
3529,lepton mass matrices,Material
3530,reveal their isomeric features,Task
3531,examine the predictions of these lepton mass matrices,Task
3532,Fukugita–Tanimoto–Yanagida hypothesis,Process
3533,neutrino mass-squared differences,Process
3534,lepton flavor mixing angles,Process
3535,"solar, atmospheric, reactor (KamLAND and CHOOZ [10]) and accelerator (K2K) neutrino data",Material
3536,experimental data,Material
3537,lepton mass matrices,Material
3538,lepton mass matrices,Material
3539,neutrino mass-squared differences,Process
3540,lepton flavor mixing angles,Process
3541,global analysis,Task
3542,isomeric lepton mass matrices,Material
3543,lepton flavor mixing angles,Process
3544,current data,Material
3545,charged lepton,Material
3546,neutrino,Material
3547,Dirac neutrino mass matrices,Material
3548,seesaw mechanism,Process
3549,experimental data,Material
3550,"generalize the one-loop partition functions,",Process
3551,dressings,Process
3552,parity symmetry,Process
3553,one-loop partition functions,Process
3554,constructing supersymmetric Gepner model orientifolds,Task
3555,bring both approaches on equal footing,Task
3556,relax the assumptions,Task
3557,additional dressings of the world-sheet parity symmetry,Process
3558,crosscap state approach,Process
3559,tadpole cancellation conditions,Process
3560,current extensions of all 168 Gepner models,Process
3561,dressings,Process
3562,systematic search for Standard-like models,Task
3563,providing a statistical ensemble in the spirit of [29],Task
3564,Absorption events through the charged current reactions,Task
3565,treatment of the Coulomb distortion,Process
3566,isobaric analogue state,Process
3567,IAS,Process
3568,4.38 MeV in 40K,Process
3569,shell model,Process
3570,the Fermi and Gamow–Teller transitions,Task
3571,predicting e−(e+) event rates,Task
3572,Coulomb effects,Process
3573,calculation by Martinez-Pinedo et al.,Process
3574,shell model for Fermi and Gamow–Teller transitions,Process
3575,continuum random phase approximation,Process
3576,CRPA,Process
3577,the absorption cross sections,Task
3578,Fermi and Gamow–Teller transition strengths,Process
3579,neutrino absorption cross section,Task
3580,modified effective momentum approximation,Process
3581,MEMA,Process
3582,nuclear absorption cross section for the charged current neutrino reactions,Task
3583,nuclear model dependencies,Process
3584,supernova neutrino energies,Material
3585,electron,Material
3586,positron,Material
3587,residual nucleus,Task
3588,two-dimensional sigma models on compact symmetric spaces G/H,Task
3589,integrals of local or non-local functions,Process
3590,G/H sigma model with H simple,Task
3591,simple,Process
3592,corresponding Lie algebra has no non-trivial ideals,Process
3593,quantization,Process
3594,renormalization,Process
3595,quantum integrability,Task
3596,calculations using the 1/N expansion,Process
3597,conservation of the quantum non-local charges,Task
3598,CPN−1=SU(N)/SU(N−1)×U(1) models for N>2,Process
3599,complex Grassmannians SU(N)/SU(n)×SU(N−n)×U(1) for N>n>1,Process
3600,lattice QCD computation of nucleon–nucleon low-energy interactions,Task
3601,electromagnetic” field,Material
3602,field strength is zero,Process
3603,tuning the background field,Process
3604,phase-shifts at any (but small) momenta,Task
3605,measuring the shift of the ground state energy,Process
3606,Lattice sizes,Material
3607,calculation of phase shifts,Task
3608,lattice QCD computation,Process
3609,nucleon–nucleon low-energy interactions,Process
3610,simulating QCD,Process
3611,invariant extensions of local functionals,Task
3612,functional which is local in a particular gauge,Task
3613,its gauge invariant extension,Task
3614,nfinite derivative expansion,Process
3615,infrared modes,Task
3616,gauge independent renormalisation,Process
3617,gauge invariant extensions of local functionals,Task
3618,non-localities found,Process
3619,expectation value,Task
3620,notion of renormalisation,Process
3621,renormalisability,Task
3622,BRST cohomology theorems,Process
3623,BRST terminology,Material
3624,light neutrino masses,Task
3625,see-saw mechanism,Process
3626,Yukawa couplings in the quark and charged lepton sectors,Task
3627,hierarchy-free masses implied by the Δm2's,Task
3628,θ12 and θ23 mixing angles,Task
3629,the angle θ13,Task
3630,quark sector,Process
3631,rhd neutrino masses,Material
3632,Δm2 values can be fitted by taking the spectrum of rhd neutrino masses,Process
3633,hierarchical neutrino Yukawa couplings,Process
3634,rhd neutrino masses,Material
3635,MR∼1010–1015,Material
3636,quark,Material
3637,charged lepton sectors,Material
3638,Yukawa couplings,Material
3639,diagonal and transition magnetic and electric dipole moments of charged leptons,Task
3640,extended technicolor,Process
3641,ETC,Process
3642,gauge symmetry breaking,Process
3643,conformal (walking) behavior of the technicolor theory,Process
3644,mixing in the charged-lepton mass matrix,Process
3645,mixing effects,Task
3646,charged lepton electric dipole moments,Task
3647,value of |de|,Process
3648,rate for μ→eγ,Process
3649,charged lepton mixing angles,Task
3650,muon anomalous magnetic moment,Task
3651,lepton mixing term,Process
3652,ETC,Process
3653,charged-lepton mass matrix,Material
3654,ETC,Process
3655,ETC,Process
3656,understanding the confinement physics from first principles,Task
3657,develop analytical approaches,Task
3658,spontaneous symmetry breaking of scale invariance,Process
3659,scale-invariant Lagrangian,Process
3660,function of 4-index field strength,Process
3661,(2)w=εμναβ∂μAναβ,Process
3662,Aναβ equation of motion leads,Process
3663,εμναβ∂βw−−FγδaFaγδ=0,Process
3664,integrated to (4)w=−FμνaFaμν+M,Process
3665,Aaμ equation of motion,Process
3666,the effective Lagrangian,Process
3667,Leff=−14FμνaFaμν+M2−FμνaFaμν,Process
3668,Spherically symmetric solutions,Task
3669,quantum theory calculation of the static energy between two charges,Task
3670,Coulomb piece,Material
3671,confining part,Material
3672,string like solutions,Process
3673,D-flat directions,Task
3674,D-flat directions,Task
3675,behaviors of the potential,Task
3676,gauge D-term interactions,Process
3677,the coupling constant λ,Material
3678,Yukawa interactions,Task
3679,Yukawa interactions,Task
3680,coefficients of non-renormalizable terms,Task
3681,R-symmetry,Process
3682,gauge coupling constant,Material
3683,standard model,Process
3684,small coupling,Process
3685,small coupling for quartic interaction,Task
3686,D-flat directions,Task
3687,MSSM chiral superfields,Process
3688,R-charge 23,Process
3689,D-flat directions,Task
3690,D-flat directions,Task
3691,non-standard couplings,Task
3692,standard e+e− option,Process
3693,linear collider,Material
3694,potential power,Task
3695,parameter αγ1,Task
3696,γγ collider,Material
3697,e+e−,Process
3698,coupling αγ2,Task
3699,e+e− colliders,Material
3700,polar-angle distributions of leptons and b-quarks,Task
3701,imaginary part of the electric dipole moment,Process
3702,he real part of the top-quark electric dipole moment,Process
3703,measurement of γγH couplings,Task
3704,e+e− colliders,Material
3705,the decay form factor αd measurement,Task
3706,e+e− option,Process
3707,e+e− polarization,Process
3708,the bX final state,Process
3709,αh1 and αh2 could be measured,Task
3710,Θ+ baryon,Task
3711,the formation of the Θ+-baryon,Task
3712,parton-based Gribov–Regge theory,Process
3713,Monte Carlo program,Material
3714,self-consistent quantum mechanical multiple scattering formalism,Process
3715,fixed by the experimental yields on (multi-)strange baryons,Process
3716,NEXUS 3.97,Material
3717,high energy hadronic and nuclear collisions,Process
3718,Elementary interactions,Process
3719,microscopic (predominantly soft) parton cascades,Process
3720,phenomenological soft pomeron exchanges,Process
3721,pomeron,Material
3722,(soft) parton ladder,Material
3723,projectile and target nucleons,Material
3724,leg partons,Material
3725,perturbative (high pt) partons,Material
3726,“semihard pomeron”,Material
3727,piece of the QCD parton ladder sandwiched between two soft pomerons which are connected to the projectile and to the target in the usual way,Material
3728,spectator partons,Material
3729,projectile and target nucleons,Material
3730,pomeron emissions,Process
3731,nucleon remnants,Material
3732,pomerons,Material
3733,color singlets,Material
3734,q–q̄,Material
3735,q–qq,Material
3736,q̄–q̄q̄,Material
3737,q–qq,Material
3738,q̄–q̄q̄,Material
3739,(multi-)strange baryons,Material
3740,Einstein's post-Newtonian equations of gravity,Process
3741,gravitipole,Process
3742,field theory of magnetic monopoles,Task
3743,magnetic monopole,Task
3744,gravitipoles,Process
3745,gravitational field,Process
3746,gravitipole,Process
3747,Maxwell's equations of motion,Process
3748,Dirac's magnetic monopole,Process
3749,non-abelian gauge theories,Process
3750,electromagnetism,Process
3751,magnetic monopoles,Process
3752,electromagnetic field,Process
3753,graviton,Process
3754,magnetic monopole,Process
3755,photon,Material
3756,describe the experimental data of the HERMES Collaboration for hadron attenuation on nuclei,Task
3757,fragmentation function,Process
3758,FSI,Process
3759,‘free’ fragmentation function,Process
3760,the z-dependence of RMh,Process
3761,determine σlead,Task
3762,"detail the spectra for different particle species (π±,K±,p,p̄)",Task
3763,"examine, if the formation times of mesons and antibaryons are about equal",Task
3764,interaction of the leading prehadrons during the formation time,Process
3765,improve our model to describe the primary photon–nucleon reaction below the PYTHIA threshold of W⩾4 GeV,Task
3766,hadron attenuation,Process
3767,nuclei,Material
3768,gluon radiation,Process
3769,dynamical studies,Task
3770,nucleon,Material
3771,hadron attenuation,Process
3772,hadron,Material
3773,produced (pre-)hadrons,Material
3774,FSI,Process
3775,surrounding medium,Material
3776,RMh,Material
3777,leading prehadrons,Material
3778,leading prehadrons,Material
3779,in-medium change of the fragmentation function,Process
3780,hadron formation,Process
3781,hadron,Material
3782,analysis of antiproton attenuation,Task
3783,antiproton,Material
3784,p+A reactions,Process
3785,mesons,Material
3786,antibaryons,Material
3787,particle species,Material
3788,π±,Material
3789,K±,Material
3790,p,Material
3791,p̄,Material
3792,primary photon–nucleon reaction,Process
3793,photon,Material
3794,nucleon,Material
3795,semi-classical arguments in weak coupling limit,Process
3796,quantal states,Task
3797,associated topological conservation laws,Process
3798,fermionic zero-energy modes trapped on such solutions,Task
3799,assignment of half-integer fermion number to the solitonic states,Process
3800,the back reaction of the fermion zero-modes on the soliton,Task
3801,Solitons,Material
3802,fractional values of the fermionic charge,Task
3803,the fate of the soliton,Task
3804,vacuum,Material
3805,carrying the fractional value of the fermionic charge,Task
3806,Dynamical stability of such objects,Task
3807,condensed matter systems,Material
3808,systematic understanding of the phenomenon,Task
3809,charmonium production,Process
3810,investigating both perturbative and nonperturbative properties of quantum chromodynamics (QCD,Task
3811,quantum chromodynamics,Task
3812,QCD,Task
3813,e+e− colliders,Material
3814,study the charmonium productions and decays,Task
3815,nonrelativistic quantum chromodynamics,Process
3816,NRQCD,Process
3817,BaBar,Process
3818,Belle ,Process
3819,inclusive J/ψ productions,Task
3820,recent measurements on the prompt J/ψ,Process
3821,four-charm–quark processes,Process
3822,exclusive J/ψ and charmonium productions,Process
3823,J/ψgg production mode,Process
3824,color-octet mechanism in NRQCD,Process
3825,possibilities of the contribution from two-virtual-photon mediate processes,Task
3826,large higher-order QCD corrections,Task
3827,collinear suppression at the end-point region of the J/ψ momentum,Task
3828,contribution from the J/ψ-glueball associated production ,Task
3829,contribution from a very light scalar boson,Task
3830,Looking for glueballs,Process
3831,find evidence for states with constituent gluons,Task
3832,disentangling the observed spectra,Task
3833,hybrid mesons,Material
3834,resonances outside the constituent quark model,Task
3835,qq̄-mesons,Material
3836,Hybrid mesons,Material
3837,gluons,Material
3838,glueballs,Material
3839,quark,Material
3840,gluons,Material
3841,color charge,Process
3842,glueballs,Material
3843,gluons,Material
3844,qq̄-mesons,Material
3845,qq̄gn,Material
3846,constituent quark model,Process
3847,JPC,Process
3848,kt-factorization approach,Process
3849,Correlation of charm-quark–charm-antiquark in γp scattering,Task
3850,unintegrated gluon distributions,Process
3851,uGDF,Process
3852,CCFM uGDF,Material
3853,HERA energies,Task
3854,charm,Material
3855,quark,Material
3856,charm,Material
3857,antiquark,Material
3858,γp scattering,Process
3859,agreement between the new data and the calculations with the relativistic deuteron wave function,Process
3860,calculations within the framework of light-front dynamics with Karmanov's deuteron wave function,Process
3861,T20 parameter of deuteron breakup on H and C targets,Process
3862,emission of protons at 0° in the k region from 0.4 to 0.8 GeV/c,Process
3863,deuteron momentum,Process
3864,Ayy data,Material
3865,"12C(d,p)X reaction",Process
3866,relativistic deuteron wave function,Process
3867,light-front dynamics,Task
3868,Karmanov's deuteron wave function,Process
3869,"qualitative description of the momentum behaviour of the Ayy parameter of the 9Be(d,p)X reaction",Task
3870,bi-large lepton mixing,Task
3871,atmospheric neutrino mass splitting while keeping the maximal mixing between νμ and ντ,Task
3872,introduce a small perturbation to the neutrino mass matrix without breaking Z3 symmetry,Process
3873,non-diagonal charged lepton mass matrix,Material
3874,radiative corrections,Process
3875,large mixing and mass splitting for the solar neutrino oscillation,Task
3876,degenerate Majorana neutrinos,Material
3877,neutrino sector,Material
3878,degenerate neutrinos,Material
3879,neutrino,Material
3880,neutrino mass matrix,Material
3881,solar neutrino mixing,Process
3882,solar neutrino,Material
3883,NJL model studied,Task
3884,Taylor expansion,Process
3885,neutral 2SC matter,Material
3886,compact stars,Material
3887,beta-equilibrated electrically,Material
3888,2SC phase,Process
3889,2SC phase,Process
3890,NJL model,Process
3891,hadronic phase,Process
3892,hybrid stars,Material
3893,compact stars,Material
3894,NJL model,Process
3895,CFL or normal quark matter cores,Material
3896,stable stars,Material
3897,strange quark mass,Material
3898,color neutral quark matter,Material
3899,CFL phase,Process
3900,normal quark matter,Material
3901,compact stars,Material
3902,quark phase,Process
3903,CFL phase,Process
3904,combined systems,Process
3905,relativistic energies,Process
3906,investigate the density behavior of the symmetry energy with respect to isospin equilibration,Task
3907,relativistic framework,Process
3908,contribution of the iso-vector,Process
3909,scalar δ field to the symmetry energy and the isospin dynamics is particularly explored,Task
3910,isospin mixing,Task
3911,study of the isovector part of the nuclear equation of state,Task
3912,comparisons with experiments,Process
3913,introduction of the δ meson in the description of the iso-vector equation of state,Process
3914,Ru(Zr)+Zr(Ru),Process
3915,study,Task
3916,σnp,Process
3917,medium neutron–proton cross sections,Process
3918,δ meson,Material
3919,isovector meson fields,Material
3920,"detecting the location of, say, one missing level on an otherwise complete sequence",Task
3921,information theory concepts,Process
3922,correlations in a sequence,Process
3923,error correcting codes can be constructed,Task
3924,detecting one missing level,Task
3925,no correlations and therefore no redundancy are present,Process
3926,Poissonian sequence,Process
3927,sequence of equally spaced levels,Task
3928,picket fence,Task
3929,missed level can be obviously detected as a hole in the spectrum,Task
3930,locate in the last case a single missed level,Task
3931,approximately locate,Task
3932,a single missed level,Task
3933,study of spectral fluctuations,Process
3934,two-dimensional chaotic systems,Task
3935,Weyl's law describing the average spectral density,Process
3936,investigate the BFKL and DGLAP equations in the case of supersymmetric theories,Task
3937,high symmetry may significantly simplify the structure of these equations,Task
3938,leading logarithmic approximation,Process
3939,LLA,Process
3940,anomalous dimensions obtained from universal anomalous dimensions γuni(j) by shifting its arguments by an integer number,Process
3941,fixed by the superconformal invariance ,Process
3942,anomalous dimension matrices for twist-2 operators,Task
3943,"Calculations in the maximally extended N=4 SYM, where the coupling constant is not renormalized",Process
3944,twist-2 operators,Task
3945,anomalous dimension matrix,Task
3946,super-conformal invariance,Process
3947,N=4 SYM,Task
3948,Evolution equations for quasi-partonic operators,Task
3949,evolution equations for the matrix elements of quasi-partonic operators in the multicolor limit Nc→∞,Task
3950,extension to the charmed analogue Θc(3099),Process
3951,SDO sum rule and lattice calculations,Task
3952,charm quark,Material
3953,constituent-quark picture,Process
3954,JW prediction,Process
3955,quenched lattice calculation,Task
3956,QCD sum rules,Process
3957,see how they are different from the Θ+(1540) sum rule,Task
3958,sum rule,Task
3959,radiating gluons,Material
3960,replaced by gluonic operators in the heavy quark expansion,Process
3961,charm quark mass has to be kept finite in the OPE,Process
3962,momentum space expression,Process
3963,quark–gluon mixed condensate,Material
3964,QCD,Material
3965,SDO sum rule,Process
3966,charm quark,Material
3967,quark condensate,Material
3968,s̄gsσ·Gs,Material
3969,Θ+ sum rule,Process
3970,gluonic operators,Material
3971,heavy quark,Material
3972,charm quark,Material
3973,OPE,Material
3974,charm-quark propagator,Material
3975,the light-quark sum rule,Process
3976,quark propagators,Material
3977,small quark,Material
3978,operators listed in (9) and (10) have to be included,Task
3979,QCD factorization framework,Process
3980,express the hadronic matrix elements in the schematic form:,Process
3981,schematic form,Process
3982,"〈Vγ|Oi|B〉=FB→VTiI+∫dk+2π∫01duφB,+(k+)TiII(k+,u)φV⊥(u)",Process
3983,leading-twist light-cone distribution amplitude,Process
3984,LCDA,Process
3985,isospin violation in the B→K∗γ decays,Task
3986,next-to-next-to-leading orde,Process
3987,NNLO,Process
3988,FB→V,Process
3989,"transition form factors defined through the matrix elements of the operator O7, φB",Process
3990,+(k+),Process
3991,leading-twist B-meson wave-function with k+ being a light-cone component of the spectator quark momentum,Process
3992,φ⊥V(u,Process
3993,u,Process
3994,fractional momentum of the vector meson carried by one of the two partons,Process
3995,The factorization formula,Process
3996,This factorization framework,Process
3997,hard-spectator contribution arising from the chromomagnetic operator O8,Task
3998,spectator interactions,Task
3999,heavy quark,Material
4000,determination of the P-parity,Task
4001,general theorem,Process
4002,determine the parity,Task
4003,binary reaction,Process
4004,Model independent methods,Process
4005,determination of the P-parity,Task
4006,measure the spin–spin correlation parameter,Process
4007,polarization transfer,Process
4008,fermions,Material
4009,this reaction,Process
4010,particle,Material
4011,isospin,Process
4012,nucleons,Material
4013,conservation of the P-parity,Process
4014,total angular momentum,Process
4015,nucleon,Material
4016,the hyperon Y,Material
4017,pp-collision,Process
4018,photoproduction,Process
4019,reaction,Process
4020,changes to the quark and antiquark distributions of a bound proton,Task
4021,develop a reliable model of both the free proton and the binding of nucleons starting from the quark level,Task
4022,illustrate the formal ideas developed here by applying them to a toy model,Process
4023,quark distributions of isospin symmetric quark matter,Material
4024,"each quark feels a scalar potential, −Vsq, and a vector potential, Vvq",Process
4025,Quark–Meson Coupling,Process
4026,QMC,Process
4027,calculate the properties of nuclear matter as well as finite nuclei,Task
4028,effective nuclear force,Task
4029,mean field approximation,Process
4030,Dirac equation for the quark in infinite quark matter,Task
4031,(30)iγ·∂−m−Vqs−γ0VqvψQMq(x)=0,Task
4032,coalescence approach,Process
4033,evaluated transverse-momentum dependencies,Process
4034,central heavy-ion reactions,Process
4035,charm-quark distributions,Task
4036,complete thermalization,Process
4037,transverse flow,Process
4038,integrated yield,Process
4039,difference in the slope parameters,Process
4040,elliptic flow,Process
4041,pT-spectra,Task
4042,elliptic flow pattern,Process
4043,single-electron decay spectra,Task
4044,charm reinteractions,Process
4045,charm-quark reinteractions,Process
4046,complimentary probe,Material
4047,spectra,Material
4048,pQCD c-quarks,Material
4049,D-mesons,Material
4050,charmed hadrons,Material
4051,hadronization,Process
4052,D-mesons,Material
4053,baryons,Material
4054,QGP,Process
4055,light-quark sector,Task
4056,quark,Material
4057,QGP,Process
4058,quantum chromodynamics,Task
4059,QCD,Task
4060,relativistic bound state problem,Task
4061,light-cone Hamiltonian approach,Process
4062,light-cone wave functions,Task
4063,reliable light-cone wave functions,Material
4064,calculate high energy scattering,Task
4065,equal time Hamiltonian,Process
4066,transform the resulting wave functions into light-cone form,Process
4067,construction of an effective Hamiltonian including the gauge degrees of freedom explicitly,Task
4068,solving the bound state problem,Process
4069,solve the valence quark wave function for mesons,Task
4070,simple Hamiltonian with a two-body potential ,Process
4071,kinematical on-shell equations,Process
4072,mesons,Material
4073,valence quark wave function,Process
4074,Hamiltonian,Process
4075,mesons,Material
4076,reactions,Process
4077,microwave background,Process
4078,isotropic infrared and optical background,Process
4079,IRB,Process
4080,the smaller number density has to be weighted with the higher flux of interacting protons,Process
4081,present Universe,Task
4082,proton interaction rate,Task
4083,cosmological evolution of UHECR injection,Process
4084,flux of cosmogenic neutrinos,Task
4085,taken in consideration,Process
4086,interactions on MBR,Task
4087,interacting protons,Material
4088,quickly lose their energy even at z=0,Process
4089,IRB,Process
4090,MBR,Process
4091,IRB,Process
4092,interacting protons,Material
4093,MBR,Material
4094,proton,Material
4095,protons,Material
4096,universal photon field,Material
4097,lower energy protons,Material
4098,study the influences of the evolution of the universe on the size of the black hole,Task
4099,study the motion of the planet,Task
4100,rewrite the metric from the cosmic coordinates system to the Schwarzschild coordinates system,Process
4101,McVittie's solution,Process
4102,extend the McVittie's solution into charged black holes,Task
4103,deduce the metric for a Reissner–Nordström black hole in the expanding universe,Process
4104,asymptotic conditions to derive the Schwarzschild metric,Process
4105,applied the asymptotic conditions to derive the Schwarzschild metric in the expanding universe,Task
4106,solving the full Einstein equations,Process
4107,follow the same procedure to derive the metric,Process
4108,Reissner–Nordström black holes in Friedman–Robertson–Walker universe,Task
4109,charged black holes,Material
4110,Reissner–Nordström black hole,Material
4111,black hole,Material
4112,ART model,Process
4113,hadronic transport model,Process
4114,experimental data from hadron–hadron collisions,Material
4115,elastic and inelastic collisions,Task
4116,ART model,Process
4117,ART model,Process
4118,understand whether or not the strongly interacting matter formed in these collisions reaches chemical and/or thermal equilibrium,Task
4119,extend the ART model to include perturbatively the Ξ particle,Task
4120,transport model,Material
4121,baryons,Material
4122,"N, Δ(1232)",Material
4123,N∗(1440),Material
4124,N∗(1535),Material
4125,Λ,Material
4126,Σ,Material
4127,mesons,Material
4128,π,Material
4129,ρ,Material
4130,ω,Material
4131,η,Material
4132,K,Material
4133,K∗,Material
4134,these particles,Material
4135,hadron–hadron collisions,Process
4136,hadron,Material
4137,hadron,Material
4138,explaining many experimental observations,Task
4139,kaon antiflow,Process
4140,heavy ion collisions,Process
4141,kaon,Material
4142,heavy ion,Material
4143,AGS energies,Process
4144,strongly interacting matter,Material
4145,collisions,Process
4146,ART model,Process
4147,Ξ particle,Material
4148,rare particles,Material
4149,Reissner–Nordström AdS black holes,Material
4150,Hawking–Page phase transition,Process
4151,Born–Infeld corrections,Process
4152,constructed the Born–Infeld black holes in the presence of a cosmological constant,Task
4153,Reissner–Nordström AdS background,Process
4154,brane,Material
4155,crosses the inner horizon of the bulk geometry,Process
4156,study cosmology on the brane when it is moving in the charged black hole backgrounds,Task
4157,charged holes,Material
4158,generate non-singular cosmology without creating the instabilities,Task
4159,Born–Infeld black holes,Material
4160,discussed their thermodynamical properties,Task
4161,brane world cosmology,Task
4162,non-singular cosmology,Task
4163,brane,Material
4164,instability,Process
4165,cosmology,Task
4166,brane,Material
4167,charged black hole,Material
4168,prove the uniqueness,Process
4169,non-singular solutions with a four-dimensional Poincaré,Task
4170,de Sitter or anti-de Sitter symmetry,Task
4171,construct the most general solutions,Process
4172,"axial symmetry in the two-dimensional internal space,",Task
4173,non-singular away from a conical defect,Process
4174,interpretation of 3-branes with negative tension,Process
4175,3-branes with negative tension,Material
4176,Longitudinal beam and target single-spin asymmetries,Task
4177,HERMES and CLAS experimental Collaborations ,Process
4178,T-odd fragmentation functions,Process
4179,receive contributions also from T-odd distribution functions,Process
4180,quark mass corrections,Process
4181,exhaustive treatment of the contributions of T-odd distribution functions,Task
4182,subleading order in an expansion in 1/Q,Process
4183,describe the longitudinal beam and target spin asymmetries,Task
4184,factorization,Process
4185,subleading-twist transverse-momentum dependent functions,Process
4186,proofs for the leading-twist case,Task
4187,Collins function,Process
4188,T-odd distribution functions,Process
4189,T-odd distribution functions,Process
4190,incident photon,Material
4191,quark,Material
4192,twist distribution,Process
4193,fragmentation functions,Process
4194,single-particle inclusive DIS,Process
4195,e+p→e′+h+X,Process
4196,single-jet inclusive DIS,Process
4197,e+p→e′+jet+X,Process
4198,factorization,Process
4199,factorization proof for observables containing subleading-twist transverse-momentum dependent functions,Task
4200,its contribution to leptogenesis and baryogenesis,Task
4201,applications for this mechanism,Task
4202,in the phase when the fields are rolling,Process
4203,applications to concrete baryogenesis models,Task
4204,fields have relaxed to their vacuum values,Process
4205,CP violation mechanism,Process
4206,string cosmology,Task
4207,how scalar fields from brane world scenarios can play a new role in spontaneous baryogenesis,Task
4208,rolling phase,Process
4209,Hubble constant drops to a value comparable to the mass of the scalar fields,Process
4210,scalar fields,Material
4211,cosmological evolution,Process
4212,CP violation,Process
4213,concrete baryogenesis models,Process
4214,brane world scenarios,Task
4215,scalar fields,Material
4216,our mechanism,Process
4217,scalar fields,Process
4218,brane,Material
4219,spontaneous baryogenesis,Process
4220,string/D-brane theory,Process
4221,SUSY bulk-boundary theory,Process
4222,solve the singular field equation,Task
4223,general mathematical result about the free-wave solution,Process
4224,extra-component of the bulk-vector,Process
4225,A5,Process
4226,bulk-scalar,Process
4227,Φ,Process
4228,different roles are clarified,Task
4229,boundary condition,Process
4230,thin-wall limit,Process
4231,"c1=−1, c2=−1",Process
4232,solution,Process
4233,bulk Higgs model,Process
4234,non-singular and stable brane solution,Process
4235,SUSY bulk-boundary theory,Process
4236,brane system,Material
4237,stableness,Task
4238,stable brane configurations,Process
4239,kink solution,Process
4240,non-singular solution,Process
4241,spins and parities of Θ+ and Ξ−−,Task
4242,new wave of pentaquark research,Task
4243,take the spin equal to 1/2,Process
4244,chiral soliton,Process
4245,constituent quark models,Process
4246,parity of the pentaquark,Task
4247,P=(−)ℓ+1,Task
4248,ℓ,Task
4249,angular momentum associated with the relative coordinates of the q4 subsystem,Task
4250,subsystem of four light quarks is in a state of orbital symmetry,Task
4251,"comparison between the realistic calculations for positive parity [12] and negative parity [14], based on the same quark model [15]",Task
4252,lower the energy of the whole system,Process
4253,kinetic energy,Process
4254,totally symmetric [4]O state,Process
4255,flavour–spin interaction,Process
4256,Θ+,Material
4257,Ξ−−,Material
4258,pentaquark,Material
4259,Skyrme models,Process
4260,pentaquark,Material
4261,light quarks,Material
4262,O symmetry,Process
4263,colour–spin interaction,Process
4264,quark model,Process
4265,quark,Material
4266,antiquark,Material
4267,"interaction between light quarks and the heavy antiquark was neglected, consistent with the heavy quark limit",Process
4268,heavy quark,Material
4269,heavy antiquark,Material
4270,light quarks,Material
4271,spin–spin interaction,Process
4272,s̄,Material
4273,light quarks,Material
4274,uudds̄ pentaquark,Material
4275,η meson exchange,Process
4276,η meson,Material
4277,deformation structure,Process
4278,singlet deformation,Task
4279,deformation parameters,Process
4280,N=2 supersymmetric U(1) gauge theory,Task
4281,the gauge and supersymmetry transformations,Task
4282,correction linear,Process
4283,field redefinition,Process
4284,N=1/2 super-Yang–Mills theory,Task
4285,field redefinition,Process
4286,component fields,Task
4287,deformed supersymmtery transformation,Process
4288,singlet case,Task
4289,field redefinition,Process
4290,deformed Lagrangian,Process
4291,deformed Lagrangian,Process
4292,N=1/2 superspace,Process
